company_name,description,location,salary
Edumyra Services Pvt Ltd,"Total work: 4 years (Preferred).,Job Title - Java , (On Contract minimum 6 Month).,*Secondary Skills: * HTML/CSS, Java script.","Pune, Maharashtra","₹10,00,000 a year"
CWD Limited,"Running test programs to ensure that testing protocols evaluate the , correctly.,Knowledge of debugging codes and , development languages.","Navi Mumbai, Maharashtra","₹15,000 - ₹20,000 a month"
Fidisys Technologies private limited,"Experience- Freshers or one and above.,Total work: 1 year (Preferred).,Temporarily due to COVID-19.","Chennai, Tamil Nadu","₹15,000 - ₹40,000 a month"
,"Proficient in building web applications using Angular or other client-side application frameworks.,Experience in developing application using Web APIs / Node JS…","Bengaluru, Karnataka",
Meridian Solutions Inc,"Familiarity with RESTful APIs to connect Android applications to back-end services.,Translate designs and wireframes into high quality code.","Calicut, Kerala","₹8,000 a month"
,"You could either be working with our Product Designers & Managers to improve the design and implementation of our existing products, build an entirely new line…","Bengaluru, Karnataka",
,"Maintain quality and ensure responsiveness of applications.,Build features and applications with a mobile responsive design.","Hyderabad, Telangana",
Success Numbers,"Total work: 3 years (Preferred).,Qualification* - If you can code then only apply (Any Degree).","Bengaluru, Karnataka","₹8,00,000 - ₹15,00,000 a year"
,"Assists in the design, definition, development, and test of the cloud computing applications development.,Mgr & Exec - Typically requires a minimum of 3 years…","Bengaluru, Karnataka",
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
,"Demonstrate ability to learn and adapt to Rackspace specific tools.,Must have excellent communication skills.,Good hands on experience on system administration …","Bengaluru, Karnataka",
Open Etechnologies,"Develop and enhance ERPNext platform via pull requests.,Customize ERP as per requirements.","Mumbai, Maharashtra",
,On successful deployment through the business our ambition is to eventually open the project to the wider community by taking the project to open source.,"Bengaluru, Karnataka",
,"Be part of a dev team of highly skilled data engineers, responsible for designing and developing cutting edge engineering products in an international team.","Bengaluru, Karnataka",
,"Understanding of , skills such as business analysis, development, maintenance, and , improvement.,Working proficiency in developmental toolsets.","Hyderabad, Telangana",
,Solid technical skills and experience in building highly reactive web application using full web technology stack.,"Mumbai, Maharashtra",
,"Personal computer and business solutions , skills.,Experience working with relational databases to facilitate programming software.","Bengaluru, Karnataka",
,"Development and Maintenance of generic , modules for both classic AUTOSAR and adaptive AUTOSAR.,Bootloader Development and Integration.","Bengaluru, Karnataka",
Meridian Solutions Inc,"Familiarity with RESTful APIs to connect Android applications to back-end services.,Translate designs and wireframes into high quality code.","Calicut, Kerala","₹8,000 a month"
DevStack Solution,"Free Certificate, Letter of Recommendation, Real , development experience.,Basic web development knowledge - HTML, CSS, Javascript, PHP/node.",,"₹3,000 a month"
Intellemo,"3.Building reusable components and front-end libraries for future use.,1.Conceptualising and Developing new user-facing features using React.js and Nextjs.","Delhi, Delhi","₹4,00,000 - ₹6,00,000 a year"
Nickelfox,"0-1 Years of experience developing backend applications.,B.Tech (IT, CS, CS & Engg) graduates or students who are in their final semester are only eligible.","Noida, Uttar Pradesh",
,"Design and develop and deploy scalable and high quality applications/Products using Python, Django, among other technologies.","Bengaluru, Karnataka","₹3,50,000 - ₹4,00,000 a year"
,"As an application ,, you will design and run applications and systems using custom technologies.,Please be aware Kyndryl will continue to use some IBM…","Bengaluru, Karnataka",
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
Darshan DesignPro,,"Belgaum, Karnataka",
Manish Software,"We are looking for a good app , who can develop mobile applications using flutter and firebase.,Fresher Android app , / iOS app developer.","Gurgaon, Haryana","₹30,000 a month"
,"Integration of user-facing elements developed by front-end developers.,Buzzworks , is a technology solutions provider for corporate telesales outfits.","Mumbai, Maharashtra","₹2,50,000 - ₹4,50,000 a year"
Kruti Systems,"Knowledge of programming patterns or architectural patterns will be considered as positive trait.,University Degree in , engineering or equivalent…","Mumbai, Maharashtra",
,Deep hands-on experience in applications integration using Open-Source and commercial middleware with expertise in MuleSoft.,"Bengaluru, Karnataka",
Walmart Global Tech India,"Hands on in developing web applications using REST, Messaging and SOA.,Our teams collaborate across the globe to build and deploy solutions that enhance our…","Bengaluru, Karnataka",
Niveosys,"Will be working as Project Associate Trainee under the guidance /supervision of a lead mentor and contribute to the development of , applications across…","Pune, Maharashtra",
,"The Company's portfolio includes gaming machines, game content and systems; table games products and utilities; instant and draw-based lottery games; server…","Bengaluru, Karnataka","₹2,00,000 - ₹10,00,000 a year"
SGK,Assists other IT groups and customers to define the system design and user interface based on customer needs and objectives.,"Chennai, Tamil Nadu",
Hydrotec Solutions,"Tech or MSc Computer Science.,Job Types: Full-time, Fresher.","Kolkata, West Bengal","₹10,000 a month"
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
,"As a , ,, you will be involved in all phases of the , development lifecycle; working towards properly engineered information systems,…",India,
Invogue creations,"Job Types: Full-time, Contract.,Manual testing: 1 year (Preferred).,Total work: 1 year (Preferred).","Mumbai, Maharashtra",
,"Relevant years of experience in web applications development using Java Struts / Spring Framework with expertise on JavaScript, Core Java, J2EE and other…","Bengaluru, Karnataka",
,"Works cross-functionally to understand business requirements, evaluate alternative approaches and ensure , and systems are designed to facilitate…","Mumbai, Maharashtra",
PRIME EDGE INFO SOLUTIONS PVT LTD,"5)Ability to Understrand or adapt to new technology.,4)Strong Logical and Mathematical Processing Skills.,1)Strong in C and C++ programming(C without C++ is…","Chennai, Tamil Nadu",
Onward Group,"Web application development using Python.,SQL Server, PostgreSQL or other Databases.,Database migration experience (nice to have).","Bengaluru, Karnataka","₹10,00,000 - ₹16,00,000 a year"
,"Participate in application design, data warehouse design, Code, unit test and debugging of the code.,The role is an integral part of the organization’s overall…","Bengaluru, Karnataka","₹4,00,000 a year"
RoaDo,"To maintain quality and ensure responsiveness of the applications.,Working with ReactJS, Redux to design, develop and build web applications.","Bengaluru, Karnataka","₹3,00,000 - ₹5,00,000 a year"
Inkoop,"If you have applied for an Internship before with us.,Added advantage if you know React, Node or Vue.,Open to learning new tools and technologies.","Bengaluru, Karnataka","₹15,000 a month"
BM Coder,"Good knowldge of HTML and CSS.,Total work: 1 year (Preferred).","Ahmedabad, Gujarat",
Octopus Manpower Consultancy,"Job Types: Full-time, Internship, Fresher.,Total work: 1 year (Preferred).","Kolkata, West Bengal","₹10,000 - ₹25,000 a month"
Stock Holding,"Experience Required 2-3 Years.,Reading / Writing files using UTL_FILE , SQL tuning.,Modify existing codes to optimize ORACLE applications.","Mumbai, Maharashtra",
,Candidates need to clear an aptitude test in order to get qualified for a 1 Month training program in Finacus followed by a personal round of interview for…,"Mumbai, Maharashtra","₹20,000 - ₹25,000 a month"
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
Internet Apex,"Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image.,Total work: 1 year (Preferred).","Mumbai, Maharashtra","₹18,000 - ₹20,000 a month"
,"Experience: 1+ years in VB.net, ASP.net application development & SQL server.,Tech / B.Sc(IT) / B.sc (Comp) or similar.","Mumbai, Maharashtra",
Tekpillar,"Aligning application design with business goals.,Designing and implementing Java-based applications.,Defining application objectives and functionality.","Pune, Maharashtra","₹5,00,000 a year"
bTranz,3.Strong understanding of ARM-based microcontroller and must have worked on any of the 8/16/32 bit microcontrollers for data acquisition using ADC and…,"Hyderabad, Telangana",
Medical Electronic Systems,"Job Types: Full-time, Fresher.,Total work: 1 year (Required).","Chennai, Tamil Nadu","₹15,000 - ₹25,000 a month"
shree associate,"Larawal (php)/bootstrap: 3 years (Preferred).,Part-time hours: 90 per week.,Job Types: Full-time, Part-time, Walk-In.","Kalyan, Maharashtra","₹15,000 - ₹30,000 a month"
Mark Web Solutions,"Managing Multiple website on HTML, WordPress, Shopify and any other opensouce platform.,Email Designing based on given graphic on HTML or any online platform…","Mumbai, Maharashtra","₹10,000 - ₹12,000 a month"
,"Identify associates and team priorities based on business direction and adjust when needed.,Write code, test and debug new software.","Bengaluru, Karnataka",
Anzil Soft Pvt Ltd,"Mobile App development using ReactJS.,Sharp learner of new technologies.,The candidate should have a strong knowledge of the following things:","Pune, Maharashtra",
,"Experience using CICS, COBOL and DB skills for applications running in Mainframe environment.,2-4 Years of Mainframe , Experience.","Bengaluru, Karnataka",
Design Studio arts,"Part-time hours: 48 per week.,Job Types: Full-time, Part-time, Internship, Commission.,Total work: 1 year (Preferred).,CSS/CSS3: 1 year (Preferred).","Bengaluru, Karnataka","₹8,086 - ₹36,218 a month"
AltraDimension Technologies Private Limited,"Ø 2-4 years of experience building successful production , systems. and/or developing large scale web applications.,Temporarily due to COVID-19.","Bengaluru, Karnataka","₹4,00,000 - ₹8,00,000 a year"
Nellai Software Pvt Ltd,"To quickly understand the requirement and design appropriate logic.,Proactiveness in bringing in new ideas and features.,Total work: 1 year (Preferred).","Tirunelveli, Tamil Nadu","₹12,000 a month"
,Proficient in designing and developing business intelligence / data warehousing / reporting applications that utilize specialized tools/products from Microsoft…,"Hyderabad, Telangana",
IYCON INDIA PVT LTD.,"Always have an “End User First” approach, to ensure that the applications being developed are simple to use and value-adding for the end-user.","Mumbai, Maharashtra","₹30,000 a month"
,"Minimum 4-6 years of experience developing flexible, scalable and robust applications supporting the financial services sector.","Mumbai, Maharashtra",
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
Metricoid Technology Solutions Private Limited,"Test and develop , for client applications.,Strong knowledge of PHP coding and web-based applications.,Create documentation for , created.","Navi Mumbai, Maharashtra","₹30,000 - ₹45,000 a month"
,"Analysing Business Requirements, assessing the quality of these to ensure they are Cohesive, Comprehensive, Concise, Clear and Correct, and assures the work of…","Navi Mumbai, Maharashtra",
Vidya Systems,"Minimum 1 + years Years of experience in .Net.,Net platform and programming experience in ASP, C# , Vb .Net.,Proficiency in Blazor, Razor, Xamarine, MVC.","Pune, Maharashtra","₹15,000 - ₹20,000 a month"
,"Excellent communication and teamwork skills.,Mostly concentrated on 2019,2020,2021 passed out freshers. *.,This is a Train and Hire module.*.","Chennai, Tamil Nadu","₹3,50,000 - ₹4,00,000 a year"
,"Net , create applications from scratch, configure existing systems and provide user support.,A net , is responsible for producing code using .…","Mumbai, Maharashtra","₹7,50,000 a month"
BVR Projects Pvt Ltd,,"Hyderabad, Telangana","₹20,000 - ₹30,000 a month"
,"Performs network product design, development, testing, documentation, and analysis of , applications.,Duties include designing application, writing code,…","Bengaluru, Karnataka",
,,"Navi Mumbai, Maharashtra",
Millennium,"Integration with other Microsoft 365 products – Flow, PowerApps, Power BI etc..,Hands-on experience with developing Plugins, Custom workflows, Custom dashboards…","Bengaluru, Karnataka",
RebarMan Software,"NET with Auto CAD Programming.,SQL will be added advantage.,Job Types: Full-time, Walk-In.,Sanitation and masking will be carried out.","Chennai, Tamil Nadu","₹15,000 - ₹50,000 a month"
Confer Global,"Collaborate with Front-end , to integrate user-facing elements with server side logic.,As a Back-end ,, you’ll work closely with our…","Pune, Maharashtra",
,"Mean/men/Node (Backend developer/full stack developer)*.,Thorough understanding of the Request Lifecycle (including Event Queue, Event Loop, Worker Threads, etc…","Mumbai, Maharashtra","₹8,00,000 - ₹11,00,000 a year"
,Provide end to end functional planning across specific expertise areas in global delivery based on scope of work and localization requirements.,"Bengaluru, Karnataka",
Infiniti Software Solutions," Hand on and implements complex AngularJS applications, directives, controllers, services., Make design and technical decisions for AngularJS projects.","Chennai, Tamil Nadu","₹6,00,000 a year"
,"Overall an industry experience of 6+ years in the Digital space along with Drupal Experience of 3+ years minimum,.","Mumbai, Maharashtra",
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
,"Should have experience in API developing custom application using MTA multi threaded application.,Propose design or architectural alternatives if required.","Mumbai, Maharashtra",
,"Experience developing custom , tools to assist in performing reverse engineering and debugging.,Binary Patch Diffing to identify and exploit n-day…","Delhi, Delhi","₹20,132 - ₹1,00,015 a month"
CloudThat Technologies Pvt. Ltd.,"Founded by Bhavesh Goswami, an ex-Amazonian who was part of the AWS product development team, he brings in 17 years of experience in IT Training and Consulting…","Bengaluru, Karnataka",
DATADOT SOFTWARE SOLUTIONS,"B.tech. degree in Computer Science, Computer Engineering or related field of study Knowledge of computer architecture Familiarity with benchmarks and computer…","Hyderabad, Telangana","₹45,000 - ₹65,000 a month"
XLJ Ventures Pvt Ltd,,"Thiruvananthapuram, Kerala","₹12,000 - ₹25,000 a month"
Triwits Technologies,"Iii. Researching, designing, implementing and managing , programs.,Iv. Testing and evaluating new programs.,Vi. Writing and implementing efficient code.","Bijapur, Karnataka",
,"The ideal candidate is excited by technology, enjoys new challenges, passionate about learning and should view every customer interaction as an opportunity to…","Gurgaon, Haryana",
Cms Technologies,"Convert PSD to HTML to an interactive website.,Knowledge on different creative design formats like AI/PSDs.,Exposure and basic working knowledge to jQuery.","Kochi, Kerala","₹10,000 - ₹15,000 a month"
Mahathi Infotech Pvt Ltd,"Collaborate with other team members and stakeholders.,Profile server resource usage, and optimize and tweak as necessary.,Job Types: Full-time, Walk-In.","Coimbatore, Tamil Nadu","₹2,50,000 a year"
Beesbuzz Smart Technologies,"Skills expected : Java, Spring Boot, BigQuery, any RDBS, and react js(optional).,Graduation : BE, MCA, Msc, MBA, Bsc, Diploma in computer science.","Chennai, Tamil Nadu","₹25,933 - ₹1,06,401 a month"
MAG Studios,"Experience in mySQL - with excellent command over stored procedures and triggers.,Experience in PHP - Codeigniter Framework.","Delhi, Delhi","₹12,000 - ₹24,000 a month"
,"3-5 years of experience as a Backend developer.,In-depth understanding of application server development, relational databases, TCP/IP networking and common…","Mumbai, Maharashtra",
VHS Consulting india pvt ltd,"Job Types: Full-time, Regular / Permanent.,Total work: 2 years (Preferred).","Bengaluru, Karnataka","₹4,02,752 - ₹15,73,661 a year"
WLC TECHNOLOGY LLP,"Testing & fixing bugs or other coding issues.,Writing clean, functional code on the front-end.,2+ years of overall experience.","Mumbai, Maharashtra","₹30,000 - ₹50,000 a month"
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
Iteanz Technologies,"Assure that all user input is validated before submitting to the back-end.,Collaborate with other team members and stakeholders.,Job Types: Full-time, Fresher.","Bengaluru, Karnataka","₹15,000 - ₹30,000 a month"
,Comfortable interacting with other departments and management - Ability to work with different internal teams (other departments managements).,"Mumbai, Maharashtra",
Zetta Women,"3 Deliver high quality solutions to our clients by adhering to , design, development, and testing best practices.,Temporarily due to COVID-19.","Mumbai, Maharashtra","₹1,00,000 a month"
,,"Bengaluru, Karnataka",
Vibry Bussiness Solutions,"BE/B.TECH/M.TECH/BCA/MCA/2019.20/21 PASS OTS ONLY.,JAVA/PYTHON/TESTING/DOT NET/SALESFORCE.,Job Types: Full-time, Fresher.,Total work: 1 year (Preferred).","Bengaluru, Karnataka","₹25,000 a month"
JJSoftTechno,"Good knowledge in other .net technologies.,String logical skills and interested in programming or coding.,From Computer science background academically.","Chennai, Tamil Nadu","₹12,095 - ₹57,043 a month"
Infochola,"Net , to build , using languages and technologies of the .,Net , designs, modifies, develops, writes and implements , programming…",India,
,"Documentation of , components and applications using UML diagrams.,Ability to develop high quality , as per the design.","Bengaluru, Karnataka",
,"Provides support for projects by completing tasks for back-end/front-end applications, associated integration, and required test harnesses based on design.","Bengaluru, Karnataka",
